Sequence File Name,Sample_ID,Phenotype,BirthYear
Ht18-24_2011_H03,2012-SKT-5087,FWR,2011
Ht18-28_2011_D04,2012-SKT-5037,MIG,2011
Ht18-34_2011_B05,2012-SKT-4997,MIG,2011
Ht18-39_2011_G05,2012-SKT-5075,FWR,2011
Ht18-43_2011_C06,2012-SKT-5017,MIG,2011
Ht18-48_2011_H06,2012-SKT-5090,MIG,2011
Ht18-55_2011_G07,2012-SKT-5078,FWR,2011
Ht18-67_2011_C09,2012-SKT-5027,MIG,2011
Ht18-72_2011_H09,2012-SKT-5095,MIG,2011
Ht18-79_2011_G10,2012-SKT-5081,MIG,2011
Ht18-81_2011_A11,2012-SKT-4986,MIG,2011
Ht18-88_2011_H11,2012-SKT-5097,MIG,2011
Ht18-89_2011_A12,2012-SKT-4990,MIG,2011
Ht18-91_2011_C12,2012-SKT-5031,MIG,2011
Ht18-95_2011_G12,2012-SKT-5083,FWR,2011
Ht18-96_2011_H12,2012-SKT-5098,MIG,2011
Ht19-10_2012_B02,2013-SKT-6329,FWR,2012
Ht19-11_2012_C02,2013-SKT-6353,FWR,2012
Ht19-12_2012_D02,2013-SKT-6373,MIG,2012
Ht19-13_2012_E02,2013-SKT-6390,MIG,2012
Ht19-14_2012_F02,2013-SKT-6407,MIG,2012
Ht19-15_2012_G02,2013-SKT-6419,FWR,2012
Ht19-16_2012_H02,2013-SKT-6431,FWR,2012
Ht19-17_2012_A03,2013-SKT-6309,FWR,2012
Ht19-18_2012_B03,2013-SKT-6330,FWR,2012
Ht19-19_2012_C03,2013-SKT-6354,FWR,2012
Ht19-22_2012_F03,2013-SKT-6408,MIG,2012
Ht19-23_2012_G03,2013-SKT-6420,MIG,2012
Ht19-24_2012_H03,2013-SKT-6432,FWR,2012
Ht19-25_2012_A04,2013-SKT-6310,MIG,2012
Ht19-26_2012_B04,2013-SKT-6331,FWR,2012
Ht19-27_2012_C04,2013-SKT-6356,MIG,2012
Ht19-29_2012_E04,2013-SKT-6397,MIG,2012
Ht19-30_2012_F04,2013-SKT-6409,MIG,2012
Ht19-31_2012_G04,2013-SKT-6421,FWR,2012
Ht19-33_2012_A05,2013-SKT-6312,FWR,2012
Ht19-35_2012_C05,2013-SKT-6358,MIG,2012
Ht19-36_2012_D05,2013-SKT-6377,MIG,2012
Ht19-37_2012_E05,2013-SKT-6398,MIG,2012
Ht19-39_2012_G05,2013-SKT-6422,MIG,2012
Ht19-40_2012_H05,2013-SKT-6434,FWR,2012
Ht19-41_2012_A06,2013-SKT-6316,MIG,2012
Ht19-42_2012_B06,2013-SKT-6336,FWR,2012
Ht19-44_2012_D06,2013-SKT-6378,MIG,2012
Ht19-45_2012_E06,2013-SKT-6399,MIG,2012
Ht19-47_2012_G06,2013-SKT-6423,FWR,2012
Ht19-48_2012_H06,2013-SKT-6435,FWR,2012
Ht19-49_2012_A07,2013-SKT-6318,FWR,2012
Ht19-50_2012_B07,2013-SKT-6339,FWR,2012
Ht19-52_2012_D07,2013-SKT-6379,MIG,2012
Ht19-53_2012_E07,2013-SKT-6400,MIG,2012
Ht19-54_2012_F07,2013-SKT-6412,MIG,2012
Ht19-55_2012_G07,2013-SKT-6424,MIG,2012
Ht19-56_2012_H07,2013-SKT-6436,MIG,2012
Ht19-57_2012_A08,2013-SKT-6320,MIG,2012
Ht19-58_2012_B08,2013-SKT-6340,MIG,2012
Ht19-59_2012_C08,2013-SKT-6366,MIG,2012
Ht19-60_2012_D08,2013-SKT-6380,MIG,2012
Ht19-61_2012_E08,2013-SKT-6401,MIG,2012
Ht19-62_2012_F08,2013-SKT-6413,MIG,2012
Ht19-63_2012_G08,2013-SKT-6425,FWR,2012
Ht19-64_2012_H08,2013-SKT-6437,FWR,2012
Ht19-65_2012_A09,2013-SKT-6322,FWR,2012
Ht19-66_2012_B09,2013-SKT-6341,MIG,2012
Ht19-67_2012_C09,2013-SKT-6367,MIG,2012
Ht19-69_2012_E09,2013-SKT-6402,MIG,2012
Ht19-71_2012_G09,2013-SKT-6426,FWR,2012
Ht19-72_2012_H09,2013-SKT-6438,FWR,2012
Ht19-73_2012_A10,2013-SKT-6323,FWR,2012
Ht19-74_2012_B10,2013-SKT-6343,FWR,2012
Ht19-75_2012_C10,2013-SKT-6369,MIG,2012
Ht19-76_2012_D10,2013-SKT-6383,MIG,2012
Ht19-77_2012_E10,2013-SKT-6403,MIG,2012
Ht19-79_2012_G10,2013-SKT-6427,FWR,2012
Ht19-80_2012_H10,2013-SKT-6439,FWR,2012
Ht19-81_2012_A11,2013-SKT-6324,FWR,2012
Ht19-82_2012_B11,2013-SKT-6346,FWR,2012
Ht19-83_2012_C11,2013-SKT-6370,MIG,2012
Ht19-84_2012_D11,2013-SKT-6386,MIG,2012
Ht19-85_2012_E11,2013-SKT-6404,MIG,2012
Ht19-86_2012_F11,2013-SKT-6416,MIG,2012
Ht19-87_2012_G11,2013-SKT-6428,FWR,2012
Ht19-89_2012_A12,2013-SKT-6327,FWR,2012
Ht19-90_2012_B12,2013-SKT-6348,FWR,2012
Ht19-91_2012_C12,2013-SKT-6371,MIG,2012
Ht19-92_2012_D12,2013-SKT-6388,MIG,2012
Ht19-93_2012_E12,2013-SKT-6405,MIG,2012
Ht19-94_2012_F12,2013-SKT-6417,FWR,2012
Ht19-95_2012_G12,2013-SKT-6429,FWR,2012
Ht19-96_2012_H12,2013-SKT-6441,MIG,2012
Ht20-10_2012_B02,2013-SKT-6211,FWR,2012
Ht20-11_2012_C02,2013-SKT-6223,FWR,2012
Ht20-12_2012_D02,2013-SKT-6235,FWR,2012
Ht20-13_2012_E02,2013-SKT-6247,FWR,2012
Ht20-14_2012_F02,2013-SKT-6259,FWR,2012
Ht20-15_2012_G02,2013-SKT-6273,MIG,2012
Ht20-18_2012_B03,2013-SKT-6212,FWR,2012
Ht20-19_2012_C03,2013-SKT-6224,FWR,2012
Ht20-20_2012_D03,2013-SKT-6236,FWR,2012
Ht20-21_2012_E03,2013-SKT-6248,FWR,2012
Ht20-23_2012_G03,2013-SKT-6274,MIG,2012
Ht20-24_2012_H03,2013-SKT-6286,MIG,2012
Ht20-26_2012_B04,2013-SKT-6213,FWR,2012
Ht20-27_2012_C04,2013-SKT-6225,FWR,2012
Ht20-28_2012_D04,2013-SKT-6237,MIG,2012
Ht20-29_2012_E04,2013-SKT-6249,FWR,2012
Ht20-31_2012_G04,2013-SKT-6275,MIG,2012
Ht20-32_2012_H04,2013-SKT-6287,MIG,2012
Ht20-33_2012_A05,2013-SKT-6196,MIG,2012
Ht20-34_2012_B05,2013-SKT-6214,FWR,2012
Ht20-35_2012_C05,2013-SKT-6226,MIG,2012
Ht20-38_2012_F05,2013-SKT-6262,MIG,2012
Ht20-40_2012_H05,2013-SKT-6288,MIG,2012
Ht20-41_2012_A06,2013-SKT-6198,MIG,2012
Ht20-42_2012_B06,2013-SKT-6215,FWR,2012
Ht20-43_2012_C06,2013-SKT-6227,FWR,2012
Ht20-44_2012_D06,2013-SKT-6239,FWR,2012
Ht20-45_2012_E06,2013-SKT-6251,FWR,2012
Ht20-46_2012_F06,2013-SKT-6263,MIG,2012
Ht20-47_2012_G06,2013-SKT-6277,MIG,2012
Ht20-48_2012_H06,2013-SKT-6289,FWR,2012
Ht20-50_2012_B07,2013-SKT-6216,MIG,2012
Ht20-51_2012_C07,2013-SKT-6228,FWR,2012
